GLAccountKey, FileImportLogKey, ImportDateTime, GLACCOUNT, COMPANYCODE, CHARTOFACCOUNTS, GLACCOUNTGROUP, CORPORATEGROUPACCOUNT, ACCOUNTISBLOCKEDFORPOSTING, ACCOUNTISBLOCKEDFORPLANNING, ACCOUNTISBLOCKEDFORCREATION, ISBALANCESHEETACCOUNT, ACCOUNTISMARKEDFORDELETION, PARTNERCOMPANY, FUNCTIONALAREA, CREATIONDATE, SAMPLEGLACCOUNT, ISPROFITLOSSACCOUNT, CREATEDBYUSER, PROFITLOSSACCOUNTTYPE, RECONCILIATIONACCOUNTTYPE, LINEITEMDISPLAYISENABLED, ISOPENITEMMANAGED, ALTERNATIVEGLACCOUNT, ACCTGDOCITMDISPLAYSEQUENCERULE, GLACCOUNTEXTERNAL, COUNTRYCHARTOFACCOUNTS, AUTHORIZATIONGROUP, TAXCATEGORY, ISAUTOMATICALLYPOSTED
354791077,38577,2026-03-26 20:35:33.143,0001005068,CO_1014,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1005068   ",NULL,NULL,"* ",NULL
354791078,38577,2026-03-26 20:35:33.143,0001810149,CO_1014,CIBO,1000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"1810149   ",NULL,NULL,"* ",NULL
354791079,38577,2026-03-26 20:35:33.143,0002012613,CO_1014,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2012613   ",NULL,NULL,"* ",NULL
354791080,38577,2026-03-26 20:35:33.143,0002011494,CO_1014,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2011494   ",NULL,NULL,"* ",NULL
354791081,38577,2026-03-26 20:35:33.143,0003901111,CO_1014,CIBO,3000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"3901111   ",NULL,NULL,"* ",NULL
354791082,38577,2026-03-26 20:35:33.143,0002510043,CO_1014,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2510043   ",NULL,NULL,"* ",NULL
354791083,38577,2026-03-26 20:35:33.143,0002777004,CO_1014,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2777004   ",NULL,NULL,"* ",NULL
354791084,38577,2026-03-26 20:35:33.143,0002112153,CO_1014,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2112153   ",NULL,NULL,"* ",NULL
354791085,38577,2026-03-26 20:35:33.143,0002011495,CO_1014,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2011495   ",NULL,NULL,"* ",NULL
354791086,38577,2026-03-26 20:35:33.143,0002012614,CO_1014,CIBO,2000,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,20241002,NULL,NULL,"WSIL_ADMIN  ",NULL,NULL,X,NULL,NULL,NULL,"2012614   ",NULL,NULL,"* ",NULL
